law,unit_id,utterance_id,n_words,utterance_words,utterance_chunks,previous_words_same_utterance,next_words_same_utterance,mergeable_whole_neighbor,content
21419,utt_35cc05eb1352dd190800::p0001-p0002,utt_35cc05eb1352dd190800,14,14,1,,,False,"Sí, Presidente .

Yo entiendo que hay que hacer la votación particular, y adelanto que..."
21419,utt_853f27b171a2afde5de9::p0001,utt_853f27b171a2afde5de9,23,23,1,,,False,"Estoy diciendo que vamos a votar en general y particular , porque no hay peticiones de votaciones separadas hasta el momento. Ya no hubo."
21419,utt_803a3863300c9cea5285::p0001-p0002,utt_803a3863300c9cea5285,35,35,1,,,False,"Está bien, Presidente.

Por eso, antes de que usted abra la votación, quiero dar una opinión, porque hay un artículo respecto del cual queremos pedir votación separada. Es en el artículo 1º, numeral 17), para..."
21419,utt_1754e70b195d81422137::p0001-p0002,utt_1754e70b195d81422137,12,12,1,,,False,"Bueno.

Si hay acuerdo de la Sala, no hay problema, señor Senador."
21419,utt_9ea3e683600f69ba7b75::p0001,utt_9ea3e683600f69ba7b75,8,8,1,,,False,Es para que se informe a todos y...
21419,utt_9d0ace777b000c2c7311::p0001-p0003,utt_9d0ace777b000c2c7311,23,23,1,,,False,"No hay problema, Senador.

Entonces, abriremos la votación general y ustedes nos hacen llegar la petición de votación separada.

Así tenemos dos votaciones."
21419,utt_6b31c5961c54e32d6ed1::p0001,utt_6b31c5961c54e32d6ed1,5,5,1,,,False,"Pero no hay indicación, Presidente ."
21419,utt_0a2f90dd109fb6c812c8::p0001-p0002,utt_0a2f90dd109fb6c812c8,25,25,1,,,False,"El Senador Letelier está en su derecho.

Yo propongo que hagamos la votación general y particular, menos el artículo al que hace referencia el Senador."
21419,utt_a79df0c5e427a36f6d0c::p0001-p0003,utt_a79df0c5e427a36f6d0c,6,6,1,,,False,"Así se hará.

Bien.

En votación."
21419,utt_fc7120ab42e492ed5b23::p0001,utt_fc7120ab42e492ed5b23,11,11,1,,,False,"Para fundamentar su voto, se ha inscrito el Senador Carlos Bianchi."
21419,utt_bf55404ea74abecc98a2::p0001-p0002,utt_bf55404ea74abecc98a2,19,19,1,,,False,"Muchas gracias, Senador Bianchi.

Vamos a dejar con la palabra, para fundamentar su voto, a la Senadora Carolina Goic."
21419,utt_ea5dd8277fa9138ba1f6::p0001-p0002,utt_ea5dd8277fa9138ba1f6,10,10,1,,,False,"Por todas estas razones, Presidente, voto a favor.

Muchas gracias."
21419,utt_e7c4cd7d73b91a700390::p0001-p0003,utt_e7c4cd7d73b91a700390,21,21,1,,,False,"Muy bien.

Muchas gracias, Senador Galilea.

Vamos a dejar con la palabra a la Senadora Ximena Rincón para fundamentar su voto."
21419,utt_89eac50d19f5a1cd8d3f::p0001-p0002,utt_89eac50d19f5a1cd8d3f,17,17,1,,,False,"Gracias, Senador Coloma.

Vamos a dejar con la palabra al Senador José García, para fundamentar el voto."
21419,utt_42b986aab209243ec3ac::p0001-p0002,utt_42b986aab209243ec3ac,13,13,1,,,False,"Gracias, Senador García.

Vamos a dejar con la palabra al Senador David Sandoval."
21419,utt_3462b8ec70b3c7cb9606::p0001-p0003,utt_3462b8ec70b3c7cb9606,38,38,1,,,False,"Muchas gracias, Senador Sandoval.

Vamos a dejar con la palabra al Senador Carlos Montes, futuro Ministro de Vivienda . Aprovechamos de saludarlo, querido colega.

Es un honor para este Senado que forme parte del futuro gabinete del Presidente electo."
21419,utt_408a8834edb0ace24595::p0001-p0002,utt_408a8834edb0ace24595,26,26,1,,,False,"Este Senado lo va a ayudar en todo lo que pueda.

¡Así que aproveche de cobrar por anticipado, porque le van a sacar el jugo acá...!"
21419,utt_6ea88d43e08dbb9518d1::p0001-p0002,utt_6ea88d43e08dbb9518d1,12,12,1,,,False,"Muchas gracias, Senador Montes.

Dejo con la palabra a don Iván Moreira."
21419,utt_a8cb74779db687087ea8::p0001-p0002,utt_a8cb74779db687087ea8,20,20,1,,,False,"Muchas gracias, Senador Moreira.

Vamos a dejar con la palabra para fundamentar su voto a la Senadora Carmen Gloria Aravena."
21419,utt_040a2d6e4fefa5dbd637::p0001-p0002,utt_040a2d6e4fefa5dbd637,14,14,1,,,False,"Muchas gracias, Senadora.

Vamos a dejar con la palabra al Senador Juan Pablo Letelier."
21419,utt_65794d6d971ec4de9dca::p0001,utt_65794d6d971ec4de9dca,18,18,1,,,False,"Senador, le pido que termine, porque ya le hemos dado tiempo, y tratamos de ser justos con todos."
21419,utt_8c30ef5e9a7e213d9dd6::p0005,utt_8c30ef5e9a7e213d9dd6,49,192,2,143.0,,False,"Al terminar, Presidente, quiero valorar, en un proyecto que no me representa del todo y que sin duda es un gran avance, el diálogo que tuvimos con el señor Ministro de Trabajo, quien recogió muchos de los puntos que planteamos... (se desactiva el micrófono por haberse agotado el tiempo)."
21419,utt_1290471567a58808a74a::p0001,utt_1290471567a58808a74a,5,5,1,,,False,"Bien, le agradezco, señor Senador."
21419,utt_ee2dac9f03e0ca62dc2e::p0001-p0002,utt_ee2dac9f03e0ca62dc2e,19,19,1,,,False,"A usted, Senador Lagos.

Vamos a dejar con la palabra, para fundamentar su voto, al Senador Manuel José Ossandón."
21419,utt_dcbb7225ee6962682d11::p0001-p0002,utt_dcbb7225ee6962682d11,14,14,1,,,False,"A usted, Senador Ossandón.

Vamos a dejar con la palabra al Senador Alejandro Guillier."
21419,utt_db39c508257946e263aa::p0009,utt_db39c508257946e263aa,47,599,7,107.0,111.0,False,"Un aspecto destacable del proyecto es su mecanismo de reajuste, de tal forma que el beneficio y sus parámetros para determinarlo no se vean afectados por los índices de inflación y, a la vez, su actualización no dependa de ningún gobierno sino que sea parte del sistema."
21419,utt_0b83e826e996884e309e::p0001-p0002,utt_0b83e826e996884e309e,21,21,1,,,False,"Gracias, Senador Durana.

Voy a darle la palabra al Senador Kast, al Senador Navarro y al Senador Quinteros, en ese orden."
21419,utt_23844ae89ae92efa9821::p0001-p0003,utt_23844ae89ae92efa9821,41,839,8,,146.0,False,"Gracias, Presidenta.

Quisiera aprovechar de hacer una serie de reflexiones, pero primero voy a saludar a los Ministros -incluido el del Trabajo, que entiendo que está conectado telemáticamente- y al Subsecretario.

Voy a comenzar con una reflexión sobre el ahorro individual."
21419,utt_e88dab8b9a5ea33fd372::p0016-p0018,utt_e88dab8b9a5ea33fd372,44,593,6,119.0,,False,"Espero que, como dije, cuando llegue el momento la futura Oposición esté a la altura y no niegue el apoyo a las reformas estructurales que el país necesita para retomar la agenda del desarrollo y la paz social.

He dicho.

Voto a favor, Presidenta ."
21419,utt_12936eced6d4067f7002::p0005,utt_12936eced6d4067f7002,33,791,7,121.0,138.0,False,"Pero, más allá de la medalla para Piñera y de la cuenta para Boric, quiero decir que este proyecto no puede terminar matando todo el esfuerzo de la ciudadanía de ""No más AFP""."
21419,utt_89e47b186322038b72d6::p0001-p0003,utt_89e47b186322038b72d6,15,15,1,,,False,"Okay.

Es lo mismo que hemos pedido para otros proyectos.

¿Le parece a la Sala?"
21419,utt_5794478ccccc2d8086a3::p0001-p0003,utt_5794478ccccc2d8086a3,7,7,1,,,False,"Okay.

Vamos a conversarlo con los Comités.

)------------("
21419,utt_d3a100448b96b40c5801::p0001-p0002,utt_d3a100448b96b40c5801,9,9,1,,,False,"Muchas gracias, Senador Huenchumilla.

El Senador Insulza no está."
21419,utt_9a851f3d21a4c9ab5312::p0001-p0002,utt_9a851f3d21a4c9ab5312,19,19,1,,,False,"Muchas gracias, Senador Latorre.

Senador Insulza, le había dado recién la palabra; la tiene ahora para fundamentar su voto."
21419,utt_c0b97150d03f0d2df3fd::p0001-p0002,utt_c0b97150d03f0d2df3fd,19,19,1,,,False,"Presidente , pido excusas por no haber estado cuando usted me llamó, pero me encontraba en otro asunto.

Muchas gracias."
21419,utt_c5cb8cfcfadfbb5d2105::p0001,utt_c5cb8cfcfadfbb5d2105,18,18,1,,,False,"Les pido al Diputado Torres y al señor Subsecretario que, por favor, le permitan hablar al Senador Insulza."
21419,utt_1f787c393992352cfd6f::p0001,utt_1f787c393992352cfd6f,9,9,1,,,False,Si son tan amables el Diputado y el Subsecretario ...
21419,utt_3fa28e82f6041a105003::p0015-p0017,utt_3fa28e82f6041a105003,41,709,8,125.0,,False,"Claramente, el presente proyecto no es una reforma estructural, pero va a ayudar a las personas, y particularmente a la clase media, que siempre se ve muy poco beneficiada con ayudas del gobierno, de cualquier gobierno.

Voto a favor, Presidente .

Gracias."
21419,utt_c1d1bb60e579c6af5002::p0001,utt_c1d1bb60e579c6af5002,13,13,1,,,False,¿Han emitido su voto todas las señoras Senadoras y todos los señores Senadores?
21419,utt_32a34446d4108d5add7e::p0001,utt_32a34446d4108d5add7e,19,19,1,,,False,"Antes de proceder a la votación separada, vamos a dar una Cuenta agregada que ha llegado a la Mesa."
21419,utt_77f4444c68128287d7e3::p0001-p0004,utt_77f4444c68128287d7e3,14,14,1,,,False,"Si le parece a la Sala, se accede a lo solicitado.

--

Así se acuerda.

)------------("
21419,utt_30dfcee8c6d9c98648fa::p0001,utt_30dfcee8c6d9c98648fa,14,14,1,,,False,"¿La solicitud es que se incorpore en la tabla de Fácil Despacho, Senador Insulza?"
21419,utt_ead14814fbfdad5dac4a::p0001,utt_ead14814fbfdad5dac4a,7,7,1,,,False,No estaría de acuerdo con esa solicitud.
21419,utt_942852cac0f3e96e9791::p0001-p0004,utt_942852cac0f3e96e9791,22,22,1,,,False,"Ya.

En ese caso, lo vamos a agregar al final de la tabla de la sesión ordinaria de mañana.

--Así se acuerda.

)------------("
21419,utt_c683af86324d89b0689b::p0001-p0003,utt_c683af86324d89b0689b,8,8,1,,,False,"Podemos autorizar un informe verbal.

--Así se acuerda.

)------------("
21419,utt_81e0c9bbd84aaa59a6ee::p0001-p0002,utt_81e0c9bbd84aaa59a6ee,23,23,1,,,False,"Gracias, Presidenta.

Solicito la autorización correspondiente para que la Comisión de Medio Ambiente y Bienes Nacionales pueda sesionar en paralelo con la Sala."
21419,utt_de8dbed493d0b8a4525b::p0001,utt_de8dbed493d0b8a4525b,7,7,1,,,False,Después de que veamos la votación separada.
21419,utt_fa9d0438f2674689df54::p0001-p0003,utt_fa9d0438f2674689df54,9,9,1,,,False,"¿Si le parece a la Sala?

--Así se acuerda.

)------------("
21419,utt_a117e324a2b2138ae1a3::p0001,utt_a117e324a2b2138ae1a3,8,8,1,,,False,Pasamos a tratar la solicitud de votación separada.
21419,utt_af63dad3c222f36e8d88::p0001-p0003,utt_af63dad3c222f36e8d88,21,21,1,,,False,"Gracias, Senador.

Está pedida la votación separada, por eso que estamos discutiendo la norma.

En votación el artículo 36 del proyecto."
21419,utt_289b0fb559ca74901faf::p0012-p0013,utt_289b0fb559ca74901faf,26,509,5,127.0,,False,"Por eso, Presidente, y considerando que ese es el contexto de la discusión sobre el particular, vamos a votar a favor de esta norma.

Muchas gracias."
21419,utt_c51cd1fc2df0bccfdff6::p0001-p0002,utt_c51cd1fc2df0bccfdff6,25,25,1,,,False,"Voy a dejar con la palabra al Senador Kast, quien no se había inscrito, porque va a plantear un tema de admisibilidad, entiendo.

Senador Kast."
21419,utt_d4f274f217135a2c3c99::p0001-p0002,utt_d4f274f217135a2c3c99,8,8,1,,,False,"Bien.

Señor Secretario , usted tiene opinión formada, supongo."
21419,utt_a1cea20e9ba5a2e35eb1::p0001,utt_a1cea20e9ba5a2e35eb1,17,17,1,,,False,"El Secretario de la Corporación dio una opinión. La respeto, pero no nos afecta, no nos incumbe."
21419,utt_d7b592ea356ba04b62a4::p0001-p0002,utt_d7b592ea356ba04b62a4,19,19,1,,,False,"Está bien, está bien, Senador.

Lo que vamos a hacer, entonces, es votar la admisibilidad de la votación separada."
21419,utt_2f68e677f19f2b4cb657::p0001,utt_2f68e677f19f2b4cb657,5,5,1,,,False,Eso es lo que corresponde.
21419,utt_0668dbff1d18ce062daf::p0001,utt_0668dbff1d18ce062daf,7,7,1,,,False,"Eso es lo que corresponde votar, pues."
21419,utt_fb7ef22f76169640a2de::p0001,utt_fb7ef22f76169640a2de,5,5,1,,,False,¿Qué estamos votando? ¿La admisibilidad?
21419,utt_3918565c5227eeb21155::p0001-p0003,utt_3918565c5227eeb21155,22,22,1,,,False,"Lo que corresponde es votar la admisibilidad, colegas. Eso es lo que estamos discutiendo.

Así... (Rumores).

¿Perdón? No lo escucho, Senador Bianchi ."
21419,utt_3c01ad6f64b338d67515::p0001-p0002,utt_3c01ad6f64b338d67515,30,30,1,,,False,"Señor Presidente , ya está puesta en votación la petición de votación por separado. Entonces, tener que anular esta votación y ahora votar la admisibilidad no corresponde.

Eso es todo, Presidente ."
21419,utt_5a4ce505d80afb2b3091::p0001-p0002,utt_5a4ce505d80afb2b3091,22,22,1,,,False,"Sí, Senador.

Lo que pasa es que está planteada la inadmisibilidad por parte del Senador Kast, que a mí me había solicitado..."
21419,utt_e9bb2a2ad5a6015d0446::p0004-p0005,utt_e9bb2a2ad5a6015d0446,40,169,2,129.0,,False,"Quería decirlo, para quizá evitarnos una votación que, finalmente, no lleva para ninguna parte, y para que simplemente tomemos nota de que ya se ha hecho el punto político, como muy bien ya lo hizo el Senador Letelier .

Gracias, Presidente ."
21419,utt_4806ef2c4934e04511a8::p0001,utt_4806ef2c4934e04511a8,5,5,1,,,False,"Muchas gracias, señor Senador Galilea."
21419,utt_8c1653f78535cdcd7b0f::p0001-p0002,utt_8c1653f78535cdcd7b0f,6,6,1,,,False,"¡No es eso!

¡No es eso!"
21419,utt_989088388c8f5eb75ab8::p0001,utt_989088388c8f5eb75ab8,19,19,1,,,False,"No, perdón, eso es lo que se ha dicho aquí: ""Si usted vota en contra señor, esto es inadmisible""."
21419,utt_49a5568f255bba294f30::p0001-p0003,utt_49a5568f255bba294f30,39,39,1,,,False,"¿Eso lo dice el Secretario o lo dice usted?

Yo no entiendo eso, Presidente . A lo mejor es mi ignorancia, que seguramente debe ser muy grande.

No entiendo por qué se dice aquí que es inadmisible votar en contra."
21419,utt_e1edce1a068f6d2780cd::p0001-p0002,utt_e1edce1a068f6d2780cd,32,32,1,,,False,"Es perfectamente admisible votar en contra de cualquier proyecto, Presidente.

Otra cosa es que se me diga que las consecuencias serían terribles, como señalan algunos Senadores, pues. Pero ese es otro punto."
21419,utt_20e1b9562c5743c05e0a::p0001,utt_20e1b9562c5743c05e0a,6,6,1,,,False,¡Pero por el quorum se cae!
21419,utt_8a0c9abad85f15e3a844::p0001,utt_8a0c9abad85f15e3a844,7,7,1,,,False,"¿En qué queda la votación anterior, Presidente ?"
21419,utt_1d6a77eb1af15b8ffd2f::p0001-p0004,utt_1d6a77eb1af15b8ffd2f,38,38,1,,,False,"¡Se anula!

Se había iniciado; pero la volvemos a reiniciar.

Los que estén a favor de que la votación separada sea admisible votan que sí; los que estén en contra de que sea admisible votan que no.

¿Estamos?"
21419,utt_dc53194e3a2f1c14007a::p0001,utt_dc53194e3a2f1c14007a,6,6,1,,,False,"Hay una propuesta, del Senador Elizalde."
21419,utt_8fc46c085b5c14f7f6eb::p0001-p0003,utt_8fc46c085b5c14f7f6eb,16,16,1,,,False,"Bien.

Voy a dar por enésima vez la palabra.

Senador Elizalde, ¿usted tiene algo que decir?"
21419,utt_ad9482bd193c3e1db0a3::p0001-p0007,utt_ad9482bd193c3e1db0a3,41,41,1,,,False,"Estoy esperando que el Gobierno emita alguna señal.

Señores del Ejecutivo , si necesitan tiempo para reflexionar, podemos perfectamente suspender por cinco minutos.

Se suspende la sesión por cinco minutos.

)------------(

--Se suspendió a las 17:32.

--Se reanudó a las 17:37.

)------------("
21419,utt_04be2bd3672c070d82f9::p0001,utt_04be2bd3672c070d82f9,5,5,1,,,False,"Presidente , pido fundamentar la admisibilidad"
21419,utt_6ff1cba9972a66661175::p0001,utt_6ff1cba9972a66661175,5,5,1,,,False,¿Vamos a mantener la suspensión?
21419,utt_16b7b86cddb71ce01df4::p0001-p0003,utt_16b7b86cddb71ce01df4,24,24,1,,,False,"¡No, no, no! Eran cinco minutos, el Gobierno ha sido claro.

Ninguno de ustedes fue a conversar con ellos.

Entiendo que no hay acuerdo."
21419,utt_f13ac67ba976f5d14cae::p0001,utt_f13ac67ba976f5d14cae,7,7,1,,,False,"Colegas, yo les pido a todos que..."
21419,utt_bb9d0334193522f9cf8f::p0001,utt_bb9d0334193522f9cf8f,6,6,1,,,False,"Presidenta , yo pido reunión de Comités."
21419,utt_e397ee53e1351f7453b8::p0001-p0005,utt_e397ee53e1351f7453b8,43,43,1,,,False,"Hay una solicitud formal del Comité del Partido Socialista para llamar a reunión de Comités sobre este tema, así que cito a los Comités y suspendemos la sesión por quince minutos.

)------------(

--Se suspendió a las 17:38.

--Se reanudó a las 18:06.

)------------("
21419,utt_db1c9c20d2523fb0c0db::p0001-p0002,utt_db1c9c20d2523fb0c0db,47,47,1,,,False,"Gracias, señora Presidenta .

Los Comités, en sesión celebrada el día de hoy, en relación con el proyecto de ley que crea la Pensión Garantizada Universal, acordaron someter a votación directa las modificaciones introducidas al artículo 36, que se encuentran en las páginas 42 y 43 del comparado."
21419,utt_b2cb3eb0e860e3b0e446::p0001-p0002,utt_b2cb3eb0e860e3b0e446,26,26,1,,,False,"Entonces, conforme al acuerdo de los Comités, se procederá a votar la referida norma, que no ha sido aprobada, pues no se había votado.

En votación."
21419,utt_a6a87dbb877aceed15ea::p0001-p0002,utt_a6a87dbb877aceed15ea,34,410,4,,130.0,False,"Gracias, Presidente.

La verdad es que a ratos creo que nos enredamos, nos confundimos y se instalan opiniones en esta Sala que dejan a unos como los buenos y a otros como los malos."
21419,utt_70ba0f16a2b5075ec003::p0001-p0005,utt_70ba0f16a2b5075ec003,35,35,1,,,False,"Bien.

Vamos a dejar con la palabra, para fundamentar el voto, al Senador Letelier.

Senadora Rincón, no dijo cómo iba a votar.

Senador Letelier.

Les voy a preguntar a todos lo mismo, por si acaso."
21419,utt_ebb38da6519ff7d3cdec::p0001-p0002,utt_ebb38da6519ff7d3cdec,11,11,1,,,False,"Gracias, Senador Insulza.

Senador Montes, Senador De Urresti y Senador Elizalde."
21419,utt_0af90828b9e762fb55a7::p0001-p0002,utt_0af90828b9e762fb55a7,5,5,1,,,False,"Gracias, Senador García-Huidobro.

¿Senador Elizalde?"
21419,utt_3cecfd94603949e5086e::p0001,utt_3cecfd94603949e5086e,7,7,1,,,False,¿Alguna señora Senadora o algún señor Senador ...
21419,utt_b64a8e9c6702d5b7b451::p0001-p0002,utt_b64a8e9c6702d5b7b451,7,7,1,,,False,"Perdón.

Senador De Urresti y Senadora Allende."
21419,utt_a38934d968974f7db56d::p0001-p0002,utt_a38934d968974f7db56d,16,16,1,,,False,"Presidenta, somos varios los parlamentarios que hemos solicitado escuchar al Ejecutivo.

Insisto, el debate está hecho..."
21419,utt_9073fd0b46b16c16b08f::p0001-p0002,utt_9073fd0b46b16c16b08f,14,14,1,,,False,"Lo que pasa es que estamos en votación. Entonces, no puede intervenir.

Estamos votando."
21419,utt_fb81e0b12c51da7743ac::p0001-p0002,utt_fb81e0b12c51da7743ac,39,39,1,,,False,"Sí, pero le pido que una vez terminada la votación -usted tiene razón- el Ejecutivo pueda hablar y explicar esto.

Le hemos pedido respetuosamente, por su intermedio, una intervención para que eso quede en la historia de la ley."
21419,utt_009484d5c61fe566f550::p0001-p0003,utt_009484d5c61fe566f550,19,19,1,,,False,"Ningún problema, Senador.

Yo no le había dado la palabra al Ejecutivo por eso.

Senadora Allende y Senador Galilea."
21419,utt_42ac51187bdfa92e6d77::p0016-p0017,utt_42ac51187bdfa92e6d77,33,530,5,137.0,,False,"Y quiero que quede claro que pudo haberlo hecho el Gobierno, y pudieron los Senadores de enfrente haber presionado y haber dicho: ""Cambiemos la actitud"". Pero, por supuesto, no lo hicieron.

He dicho."
21419,utt_83e523835715ea6191a8::p0001,utt_83e523835715ea6191a8,13,13,1,,,False,¿Alguna señora Senadora o algún señor Senador aún no ha emitido su voto?
21419,utt_c4dde7830515e708f9fd::p0012,utt_c4dde7830515e708f9fd,40,837,8,136.0,129.0,False,"Durante la discusión particular de este proyecto fueron rechazados diversos artículos, como asimismo se le introdujeron variadas indicaciones, que se encuentran consignados en el informe que mis colegas tienen en su poder y que en aras del tiempo no detallaré."
21419,utt_c800a8bdd3836d1bc6d4::p0001,utt_c800a8bdd3836d1bc6d4,42,475,6,,111.0,False,"Señor Presidente, por su intermedio, mis deseos de un feliz año nuevo a los colegas, a los periodistas, a los funcionarios y a todos quienes trabajan en este edificio. Para todos, lo mejor del mundo, y ojalá que se termine la pandemia."
21419,utt_3e385b0c423b7ec5cae7::p0008-p0010,utt_3e385b0c423b7ec5cae7,48,444,5,120.0,,False,"Por último, todavía tengo la duda de qué va a pasar con los exonerados de Chile, con los beneficiarios de la ley Valech, que nuevamente están siendo excluidos de un importante proceso.

En lo particular, muy a mi pesar, voy a apoyar este proyecto de ley.

He dicho."
21419,utt_c800d02344cbaa6dd588::p0005s002-p0006,utt_c800d02344cbaa6dd588,40,452,5,125.0,,False,"No es posible que unos digamos una cosa y otros una distinta, cuando las cifras son objetivas. Y lo que pedimos es que hoy día exista la posibilidad de extender las exenciones tributarias y buscar un financiamiento estable.

He dicho."
21419,utt_5116533e3611e77af149::p0008-p0009,utt_5116533e3611e77af149,45,487,5,149.0,,False,"El financiamiento de este proyecto no cumple con la regla básica de que para gastos fiscales permanentes debe haber ingresos fiscales permanentes. Esta regla debe respetarse; los socialistas la vamos a defender ahora y siempre, porque de eso depende que el país avance.

He dicho."
21419,utt_7d9838f951d03a1d0d1f::p0001,utt_7d9838f951d03a1d0d1f,39,542,6,,141.0,False,"Señor Presidente, estoy muy satisfecho tras escuchar a los colegas decir que van a aprobar este proyecto en general, porque, sin duda, es el gran sueño de dos millones de chilenos que, hoy día, están esperando expectantes este resultado."
21419,utt_7d9838f951d03a1d0d1f::p0007-p0008,utt_7d9838f951d03a1d0d1f,37,542,6,125.0,,False,"Hoy día debemos dar una respuesta a los trabajadores y a los jubilados. Por eso, llamamos a votar a favor este proyecto de ley de pensión garantizada universal, enviado a tramitación por el Presidente Piñera .

He dicho."
21419,utt_d7e06aa270030d304c4a::p0001,utt_d7e06aa270030d304c4a,14,14,1,,,False,Ha solicitado hacer uso de la palabra el ministro del Trabajo y Previsión Social.
21419,utt_3c4eaa11cc704545660a::p0001-p0002,utt_3c4eaa11cc704545660a,26,446,5,,140.0,False,"Señor Presidente, por su intermedio saludo al ministro y al subsecretario, así como también a la ministra.

Siento que este proyecto tiene dos mensajes muy claros."
21419,utt_aae16cfc24f46ded2c70::p0007,utt_aae16cfc24f46ded2c70,13,429,4,141.0,,False,"Vamos a respaldar esta iniciativa, pues nos parece un buen proyecto, sobre todo…"
21419,utt_014c7a79ad517894b770::p0001-p0002,utt_014c7a79ad517894b770,9,438,4,,150.0,False,"Aprobado.

-Votaron por la afirmativa los siguientes señores diputados:"
21419,utt_c57811fecf3b4581f5fa::p0005,utt_c57811fecf3b4581f5fa,27,168,2,141.0,,False,"-Efectuada la votación en forma económica, por el sistema electrónico, dio el siguiente resultado: por la afirmativa, 70 votos; por la negativa, 66 votos. Hubo 2 abstenciones."
21419,utt_b21d793054a79b4d5568::p0001-p0002,utt_b21d793054a79b4d5568,9,451,5,,150.0,False,"Rechazado.

-Votaron por la afirmativa los siguientes señores diputados:"
21419,utt_4fe0592d2f462ad1bda4::p0001-p0002,utt_4fe0592d2f462ad1bda4,9,451,5,,150.0,False,"Aprobado.

-Votaron por la afirmativa los siguientes señores diputados:"
21419,utt_4fe0592d2f462ad1bda4::p0005s002-p0007,utt_4fe0592d2f462ad1bda4,29,451,5,150.0,,False,"Martínez , Jaime , Santibáñez Novoa , Marisela , Yeomans Araya , Gael , Hernando Pérez , Marcela , Naranjo Ortiz, Jaime .

-Se abstuvieron los diputados señores:

Álvarez Vera , Jenny , Calisto Águila , Miguel Ángel , Sepúlveda Soto, Alexis"
21419,utt_8c62b52c0dcb6d591488::p0001,utt_8c62b52c0dcb6d591488,6,6,1,,,False,"Señor Presidente, ¿puedo argumentar la solicitud?"
21419,utt_872316bf7e8593e415d3::p0001,utt_872316bf7e8593e415d3,7,7,1,,,False,"Puede argumentar, señor diputado. Tiene tres minutos."
21419,utt_46319b3878ab1e44576d::p0007,utt_46319b3878ab1e44576d,22,445,4,137.0,,False,"Auth Stewart, Pepe , Hernando Pérez , Marcela , Rentería Moller , Rolando , Venegas Cárdenas , Mario , Calisto Águila , Miguel Ángel , Pérez Arriagada , José , Sabag Villalobos , Jorge ."
21419,utt_ad8280bd1a54c1d04315::p0001-p0002,utt_ad8280bd1a54c1d04315,9,435,4,,150.0,False,"Aprobado.

-Votaron por la afirmativa los siguientes señores diputados:"
21419,utt_05443dabe786db4fee5a::p0001-p0002,utt_05443dabe786db4fee5a,9,443,5,,150.0,False,"Aprobado.

-Votaron por la afirmativa los siguientes señores diputados:"
21419,utt_05443dabe786db4fee5a::p0005s002,utt_05443dabe786db4fee5a,14,443,5,150.0,,False,"Jiménez , Claudia , Santibáñez Novoa , Marisela , Yeomans Araya , Gael , Flores García, Iván , Monsalve Benavides, Manuel ."
